epoch,accuracy,loss,val_accuracy,val_loss
0,0.7634999752044678,0.6424800157546997,0.84375,0.3626616597175598
1,0.8550000190734863,0.3682093918323517,0.893750011920929,0.26869866251945496
2,0.8820000290870667,0.31165382266044617,0.8787500262260437,0.3076978623867035
3,0.8930000066757202,0.2907785177230835,0.8837500214576721,0.3191814720630646
4,0.9129999876022339,0.2675131857395172,0.8999999761581421,0.3039359748363495
5,0.9254999756813049,0.2113765925168991,0.8987500071525574,0.3610484302043915
6,0.9300000071525574,0.2039281725883484,0.8287500143051147,0.5253342390060425
7,0.9399999976158142,0.17241202294826508,0.9024999737739563,0.3480857014656067
8,0.9445000290870667,0.15317180752754211,0.9012500047683716,0.4080096483230591
9,0.9455000162124634,0.15022385120391846,0.8824999928474426,0.5509290099143982
